year,imdb,title,Director,director_gender,Writer,writer_gender,Star,star_gender,test,clean_test,binary,budget,domgross,intgross,code,budget_2013$,domgross_2013$,intgross_2013$,period code,decade code,Director Gender,Director Age
2004,tt0317198,Bridget Jones: The Edge of Reason,Beeban Kidron,M,Helen Fielding,F,Renée Zellweger,M,ok,ok,1,50000000,40203020,263894551,2004PASS,61659644,49578078,325432881,3,2,,
2001,tt0243155,Bridget Jones&#39;s Diary,Sharon Maguire,F,Helen Fielding,F,Renée Zellweger,M,ok,ok,1,25000000,71500556,281527158,2001PASS,32896149,94083718,370446373,3,2,,
2009,tt0810784,Bright Star,Jane Campion,F,Jane Campion,F,Abbie Cornish,F,ok,ok,1,8500000,4444637,17260680,2009PASS,9228719,4825683,18740466,2,2,,
2000,tt0204946,Bring It On,Peyton Reed,M,Jessica Bendinger,F,Kirsten Dunst,F,ok,ok,1,10000000,68353550,90453550,2000PASS,13529084,92476091,122375366,3,2,,
2005,tt0388795,Brokeback Mountain,Ang Lee,M,Annie Proulx,F,Jake Gyllenhaal,M,notalk,notalk,0,13900000,83043761,174097801,2005FAIL,16583160,99073958,207704444,2,2,,
1996,tt0115759,Broken Arrow,John Woo,M,Graham Yost,M,John Travolta,M,nowomen,nowomen,0,65000000,70645997,148345997,1996FAIL,96535720,104920957,220318272,4,3,,
2009,tt0765010,Brothers,Jim Sheridan,M,David Benioff,M,Jake Gyllenhaal,M,ok,ok,1,26000000,28544157,45043870,2009PASS,28229022,30991293,48905553,2,2,,
2003,tt0315327,Bruce Almighty,Tom Shadyac,M,Steve Koren,M,Jim Carrey,M,ok,ok,1,81000000,242704995,483473962,2003PASS,102553043,307285628,612120077,3,2,,
1998,tt0118789,Buffalo &#39;66,Vincent Gallo,M,Vincent Gallo,M,Vincent Gallo,M,notalk,notalk,0,1500000,2380606,2380606,1998FAIL,2143698,3402201,3402201,4,3,,
1992,tt0103893,Buffy the Vampire Slayer,Fran Rubel Kuzui,F,Joss Whedon,M,Kristy Swanson,F,ok,ok,1,7000000,14231669,14231669,1992PASS,11622431,23629512,23629512,5,3,,
2006,tt0470705,Bug,William Friedkin,M,Tracy Letts,M,Ashley Judd,F,ok,ok,1,4000000,7006708,7006708,2006PASS,4623185,8098328,8098328,2,2,,
2012,tt1308729,Bullet to the Head,Walter Hill,M,Alessandro Camon,M,Sylvester Stallone,M,nowomen,nowomen,0,55000000,9489829,13561515,2012FAIL,55805121,9628746,13760036,1,1,,
2010,tt1126591,Burlesque,Steve Antin,M,Steve Antin,M,Cher,F,ok,ok,1,55000000,39440655,89657398,2010PASS,58752751,42131764,95774887,1,1,,
2008,tt0887883,Burn After Reading,Ethan Coen,M,Joel Coen,M,Brad Pitt,M,notalk,notalk,0,37000000,60355347,163415735,2008FAIL,40043484,65319955,176857711,2,2,,
1999,tt0179116,But I&#39;m a Cheerleader,Jamie Babbit,F,Brian Peterson,M,Natasha Lyonne,F,ok,ok,1,1200000,2205627,2629191,1999PASS,1678154,3084486,3676824,4,3,,
2002,tt0303816,Cabin Fever,Eli Roth,M,Eli Roth,M,Jordan Ladd,M,ok,ok,1,1500000,21158188,30351664,2002PASS,1942769,27403645,39310844,3,2,,
1980,tt0080492,Can&#39;t Stop the Music,Nancy Walker,F,Bronte Woodard,M,Ray Simpson,M,ok,ok,1,20000000,2000000,2000000,1980PASS,56555357,5655536,5655536,,,,
2005,tt0379725,Capote,Bennett Miller,M,Dan Futterman,M,Philip Seymour Hoffman,M,dubious,dubious,0,7000000,28750530,49924079,2005FAIL,8351232,34300335,59561080,2,2,,
2011,tt0458339,Captain America: The First Avenger,Joe Johnston,M,Christopher Markus,M,Chris Evans,M,notalk-disagree,notalk,0,140000000,176654505,370569776,2011FAIL,144996710,182959443,383795703,1,1,,
2013,tt1535109,Captain Phillips,Paul Greengrass,M,Billy Ray,M,Tom Hanks,M,notalk,notalk,0,55000000,107136417,218743570,2013FAIL,55000000,107136417,218743570,1,1,,
2013,tt1939659,Carrie,Kimberly Peirce,F,Lawrence D. Cohen,M,Chloë Grace Moretz,F,ok,ok,1,30000000,35266619,85001659,2013PASS,30000000,35266619,85001659,1,1,,
2006,tt0317219,Cars,John Lasseter,M,John Lasseter,M,Owen Wilson,M,notalk-disagree,notalk,0,70000000,244082982,461667967,2006FAIL,80905744,282110219,533594150,2,2,,
2011,tt1216475,Cars 2,John Lasseter,M,John Lasseter,M,Owen Wilson,M,men,men,0,200000000,191450875,560155383,2011FAIL,207138157,198283907,580147769,1,1,,
2009,tt0795351,Case 39,Christian Alvart,M,Ray Wright,M,Renée Zellweger,F,ok,ok,1,27000000,13261851,29302804,2009PASS,29314753,14398811,31814980,2,2,,
1995,tt0112641,Casino,Martin Scorsese,M,Nicholas Pileggi,M,Robert De Niro,M,men-disagree,men,0,52000000,42438300,110400000,1995FAIL,79496532,64878801,168777252,4,3,,
2006,tt0381061,Casino Royale,Martin Campbell,M,Neal Purvis,M,Daniel Craig,M,notalk,notalk,0,102000000,167365000,596365000,2006FAIL,117891227,193439856,689276488,2,2,,
